"#Survival to DCV, Different Doses, Post-Infection Temperature 18ºC and 25ºC"							
#Replicate (vial number)
#Time (d.p.i.)
#Status (1=Dead.0=alive)
#Sample=Sample name (code)
#Wol=Wolbachia status
#Dose=Virus dose
#Sex
#Temp
Replicate	Time	Status	Sample	Wolb	Dose	Sex	Temp
3	8	1	E8_Wolbachia	Wolb+	E8	M	18C
3	13	1	E8_Wolbachia	Wolb+	E8	M	18C
3	13	1	E8_Wolbachia	Wolb+	E8	M	18C
3	17	1	E8_Wolbachia	Wolb+	E8	M	18C
3	20	0	E8_Wolbachia	Wolb+	E8	M	18C
3	20	0	E8_Wolbachia	Wolb+	E8	M	18C
3	20	0	E8_Wolbachia	Wolb+	E8	M	18C
3	20	0	E8_Wolbachia	Wolb+	E8	M	18C
4	9	1	E8_Wolbachia	Wolb+	E8	M	18C
4	10	1	E8_Wolbachia	Wolb+	E8	M	18C
4	12	1	E8_Wolbachia	Wolb+	E8	M	18C
4	13	1	E8_Wolbachia	Wolb+	E8	M	18C
4	13	1	E8_Wolbachia	Wolb+	E8	M	18C
4	14	1	E8_Wolbachia	Wolb+	E8	M	18C
4	20	1	E8_Wolbachia	Wolb+	E8	M	18C
4	20	1	E8_Wolbachia	Wolb+	E8	M	18C
4	20	0	E8_Wolbachia	Wolb+	E8	M	18C
4	20	0	E8_Wolbachia	Wolb+	E8	M	18C
5	6	1	E8_Wolbachia	Wolb+	E8	M	18C
5	9	1	E8_Wolbachia	Wolb+	E8	M	18C
5	9	1	E8_Wolbachia	Wolb+	E8	M	18C
5	11	1	E8_Wolbachia	Wolb+	E8	M	18C
5	11	1	E8_Wolbachia	Wolb+	E8	M	18C
5	12	1	E8_Wolbachia	Wolb+	E8	M	18C
5	15	1	E8_Wolbachia	Wolb+	E8	M	18C
5	16	1	E8_Wolbachia	Wolb+	E8	M	18C
5	20	0	E8_Wolbachia	Wolb+	E8	M	18C
5	20	0	E8_Wolbachia	Wolb+	E8	M	18C
1	7	1	E7_iso	Wolb-	E7	M	18C
1	7	1	E7_iso	Wolb-	E7	M	18C
1	7	1	E7_iso	Wolb-	E7	M	18C
1	7	1	E7_iso	Wolb-	E7	M	18C
1	7	1	E7_iso	Wolb-	E7	M	18C
1	7	1	E7_iso	Wolb-	E7	M	18C
1	8	1	E7_iso	Wolb-	E7	M	18C
1	8	1	E7_iso	Wolb-	E7	M	18C
